profile,layer,channel,tau
bio,4,71,3.5218288898468018
bio,4,72,4.042004108428955
bio,4,73,3.423103094100952
bio,4,74,3.744797945022583
bio,4,75,3.4238922595977783
bio,4,76,3.3516957759857178
bio,4,77,3.460387706756592
bio,4,78,3.82232403755188
bio,4,79,4.762808322906494
bio,4,80,4.675227165222168
bio,4,81,3.6031856536865234
bio,4,82,5.251520156860352
bio,4,83,3.895437479019165
bio,4,84,3.3956196308135986
bio,4,85,3.8767714500427246
bio,4,86,3.3904032707214355
bio,4,87,3.652470350265503
bio,4,88,3.9863991737365723
bio,4,89,3.502549886703491
bio,4,90,3.671156406402588
bio,4,91,3.3409512042999268
bio,4,92,5.512800693511963
bio,4,93,3.3878934383392334
bio,4,94,3.6064515113830566
bio,4,95,3.7145941257476807
bio,4,96,4.8691911697387695
bio,4,97,5.473316192626953
bio,4,98,4.117938995361328
bio,4,99,4.982759952545166
bio,4,100,3.452516794204712
bio,4,101,3.47112774848938
bio,4,102,5.577180862426758
bio,4,103,3.437224864959717
bio,4,104,3.557796001434326
bio,4,105,4.086780071258545
bio,4,106,3.626194715499878
bio,4,107,4.774496555328369
bio,4,108,3.7265470027923584
bio,4,109,4.259759426116943
bio,4,110,4.1914753913879395
bio,4,111,4.819140434265137
bio,4,112,3.492344856262207
bio,4,113,3.1400649547576904
bio,4,114,4.65932035446167
bio,4,115,4.550164222717285
bio,4,116,3.9911892414093018
bio,4,117,4.017442226409912
bio,4,118,3.7194879055023193
bio,4,119,3.27940034866333
bio,4,120,5.167364597320557
bio,4,121,3.344529628753662
bio,4,122,3.528064727783203
bio,4,123,5.08409309387207
bio,4,124,3.1463444232940674
bio,4,125,4.99554443359375
bio,4,126,3.662466049194336
bio,4,127,3.654719114303589
bio,4,128,4.183270454406738
equal,1,1,2.8324482440948486
equal,1,2,10.3414945602417
equal,1,3,1.898181676864624
equal,1,4,1.8088386058807373
equal,1,5,2.756101131439209
equal,1,6,2.6471993923187256
equal,1,7,5.408597469329834
equal,1,8,2.747891426086426
